,Brand,Price,Memory,Display,Battery,Warranty
10,"POCO C50 (Royal Blue, 32 GB)","₹6,499",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery
11,"POCO C50 (Royal Blue, 32 GB)","₹6,749",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery
12,"MOTOROLA e13 (Creamy White, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
13,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
14,"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery
15,"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery
16,"REDMI 10 (Midnight Black, 64 GB)","₹9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery
17,"REDMI 10 (Midnight Black, 128 GB)","₹11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery
18,"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery
19,"POCO C50 (Country Green, 32 GB)","₹6,499",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery
20,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery
21,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 Inch) Full HD+ AMOLED Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,4600 mAh Battery
22,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
23,"POCO M4 Pro 5G (Yellow, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
24,"POCO M4 Pro 5G (Yellow, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery
25,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
